k,g,s,cv,npf
10.0,0.8,0.01,0.1,1.09722
10.0,0.8,0.01,0.5,1.15544
10.0,0.8,0.01,1.0,1.155484
10.0,0.8,0.1,0.0,1.050048
10.0,0.8,0.1,0.01,1.05546
10.0,0.8,0.1,0.1,1.056372
10.0,0.8,0.1,0.5,1.153852
10.0,0.8,0.1,1.0,1.155764
10.0,0.8,0.5,0.0,0.94456
10.0,0.8,0.5,0.01,0.946084
10.0,0.8,0.5,0.1,0.944284
10.0,0.8,0.5,0.5,1.096044
10.0,0.8,0.5,1.0,1.153492
10.0,0.8,1.0,0.0,0.91962
10.0,0.8,1.0,0.01,0.920172
10.0,0.8,1.0,0.1,0.92392
10.0,0.8,1.0,0.5,0.957228
10.0,0.8,1.0,1.0,1.102032
10.0,0.9,0.0,0.0,1.03076
10.0,0.9,0.0,0.01,1.026608
10.0,0.9,0.0,0.1,1.031676
10.0,0.9,0.0,0.5,0.963408
10.0,0.9,0.0,1.0,0.924268
10.0,0.9,0.01,0.0,1.027392
10.0,0.9,0.01,0.01,1.029044
10.0,0.9,0.01,0.1,1.027252
10.0,0.9,0.01,0.5,0.965712
10.0,0.9,0.01,1.0,0.92778
10.0,0.9,0.1,0.0,1.019236
10.0,0.9,0.1,0.01,1.016764
10.0,0.9,0.1,0.1,1.02256
10.0,0.9,0.1,0.5,0.980308
10.0,0.9,0.1,1.0,0.934752
10.0,0.9,0.5,0.0,0.974224
10.0,0.9,0.5,0.01,0.97424
10.0,0.9,0.5,0.1,0.974312
10.0,0.9,0.5,0.5,1.0191
10.0,0.9,0.5,1.0,0.975288
10.0,0.9,1.0,0.0,0.965024
10.0,0.9,1.0,0.01,0.964388
10.0,0.9,1.0,0.1,0.964484
10.0,0.9,1.0,0.5,0.9815
10.0,0.9,1.0,1.0,1.000936
100.0,0.3,0.0,0.0,1.658412
100.0,0.3,0.0,0.01,1.657296
100.0,0.3,0.0,0.1,1.780604
100.0,0.3,0.0,0.5,1.99948
100.0,0.3,0.0,1.0,1.999904
100.0,0.3,0.01,0.0,1.462792
100.0,0.3,0.01,0.01,1.467044
100.0,0.3,0.01,0.1,1.681844
100.0,0.3,0.01,0.5,1.999536
100.0,0.3,0.01,1.0,1.999904
100.0,0.3,0.1,0.0,0.581992
100.0,0.3,0.1,0.01,0.5828
100.0,0.3,0.1,0.1,0.702312
100.0,0.3,0.1,0.5,1.999108
100.0,0.3,0.1,1.0,1.999812
100.0,0.3,0.5,0.0,0.467628
100.0,0.3,0.5,0.01,0.470656
100.0,0.3,0.5,0.1,0.470816
100.0,0.3,0.5,0.5,1.914668
100.0,0.3,0.5,1.0,1.99946
100.0,0.3,1.0,0.0,0.441244
100.0,0.3,1.0,0.01,0.442624
100.0,0.3,1.0,0.1,0.443736
100.0,0.3,1.0,0.5,0.642348
100.0,0.3,1.0,1.0,1.988372
100.0,0.4,0.0,0.0,1.525196
100.0,0.4,0.0,0.01,1.52608
100.0,0.4,0.0,0.1,1.65592
100.0,0.4,0.0,0.5,1.994196
100.0,0.4,0.0,1.0,1.997668
100.0,0.4,0.01,0.0,1.358316
100.0,0.4,0.01,0.01,1.361792
100.0,0.4,0.01,0.1,1.561036
100.0,0.4,0.01,0.5,1.994072
100.0,0.4,0.01,1.0,1.997916
100.0,0.4,0.1,0.0,0.710892
100.0,0.4,0.1,0.01,0.711436
100.0,0.4,0.1,0.1,0.801176
100.0,0.4,0.1,0.5,1.991724
100.0,0.4,0.1,1.0,1.997256
100.0,0.4,0.5,0.0,0.617276
100.0,0.4,0.5,0.01,0.616616
100.0,0.4,0.5,0.1,0.6182
100.0,0.4,0.5,0.5,1.859908
100.0,0.4,0.5,1.0,1.994504
100.0,0.4,1.0,0.0,0.593312
100.0,0.4,1.0,0.01,0.59132
100.0,0.4,1.0,0.1,0.59324
100.0,0.4,1.0,0.5,0.760112
100.0,0.4,1.0,1.0,1.974476
100.0,0.5,0.0,0.0,1.412028
100.0,0.5,0.0,0.01,1.413544
100.0,0.5,0.0,0.1,1.530384
100.0,0.5,0.0,0.5,1.969552
100.0,0.5,0.0,1.0,1.983616
100.0,0.5,0.01,0.0,1.27748
100.0,0.5,0.01,0.01,1.280768
100.0,0.5,0.01,0.1,1.449052
100.0,0.5,0.01,0.5,1.968652
100.0,0.5,0.01,1.0,1.9838
100.0,0.5,0.1,0.0,0.801584
100.0,0.5,0.1,0.01,0.802868
100.0,0.5,0.1,0.1,0.87214
100.0,0.5,0.1,0.5,1.960424
100.0,0.5,0.1,1.0,1.981856
100.0,0.5,0.5,0.0,0.72858
100.0,0.5,0.5,0.01,0.726636
100.0,0.5,0.5,0.1,0.728008
100.0,0.5,0.5,0.5,1.784748
100.0,0.5,0.5,1.0,1.975648
100.0,0.5,1.0,0.0,0.707928
100.0,0.5,1.0,0.01,0.711692
100.0,0.5,1.0,0.1,0.710536
100.0,0.5,1.0,0.5,0.83814
100.0,0.5,1.0,1.0,1.9493
100.0,0.6,0.0,0.0,1.3106
100.0,0.6,0.0,0.01,1.31414
100.0,0.6,0.0,0.1,1.408712
100.0,0.6,0.0,0.5,1.897124
100.0,0.6,0.0,1.0,1.933712
100.0,0.6,0.01,0.0,1.208508
100.0,0.6,0.01,0.01,1.215068
100.0,0.6,0.01,0.1,1.3477
100.0,0.6,0.01,0.5,1.895524
100.0,0.6,0.01,1.0,1.93292
100.0,0.6,0.1,0.0,0.868356
100.0,0.6,0.1,0.01,0.867256
100.0,0.6,0.1,0.1,0.9234
100.0,0.6,0.1,0.5,1.87988
100.0,0.6,0.1,1.0,1.929248
100.0,0.6,0.5,0.0,0.81118
100.0,0.6,0.5,0.01,0.811824
100.0,0.6,0.5,0.1,0.811536
100.0,0.6,0.5,0.5,1.687656
100.0,0.6,0.5,1.0,1.921276
100.0,0.6,1.0,0.0,0.797972
100.0,0.6,1.0,0.01,0.797316
100.0,0.6,1.0,0.1,0.79562
100.0,0.6,1.0,0.5,0.898764
100.0,0.6,1.0,1.0,1.901708
100.0,0.7,0.0,0.0,1.22138
100.0,0.7,0.0,0.01,1.220972
100.0,0.7,0.0,0.1,1.297348
100.0,0.7,0.0,0.5,1.751996
100.0,0.7,0.0,1.0,1.807816
100.0,0.7,0.01,0.0,1.150448
100.0,0.7,0.01,0.01,1.1511
100.0,0.7,0.01,0.1,1.251508
100.0,0.7,0.01,0.5,1.749044
100.0,0.7,0.01,1.0,1.808508
100.0,0.7,0.1,0.0,0.913712
100.0,0.7,0.1,0.01,0.917252
100.0,0.7,0.1,0.1,0.954196
100.0,0.7,0.1,0.5,1.730664
100.0,0.7,0.1,1.0,1.802272
100.0,0.7,0.5,0.0,0.877204
100.0,0.7,0.5,0.01,0.875632
100.0,0.7,0.5,0.1,0.876384
100.0,0.7,0.5,0.5,1.564172
100.0,0.7,0.5,1.0,1.804356
