k,g,s,cv,npf
100.0,0.5,0.01,0.1,1.44656
100.0,0.5,0.01,0.5,1.968784
100.0,0.5,0.01,1.0,1.983692
100.0,0.5,0.1,0.0,0.802504
100.0,0.5,0.1,0.01,0.80282
100.0,0.5,0.1,0.1,0.870552
100.0,0.5,0.1,0.5,1.960496
100.0,0.5,0.1,1.0,1.981828
100.0,0.5,0.5,0.0,0.728388
100.0,0.5,0.5,0.01,0.727208
100.0,0.5,0.5,0.1,0.727256
100.0,0.5,0.5,0.5,1.783852
100.0,0.5,0.5,1.0,1.975372
100.0,0.5,1.0,0.0,0.708924
100.0,0.5,1.0,0.01,0.710192
100.0,0.5,1.0,0.1,0.709376
100.0,0.5,1.0,0.5,0.842892
100.0,0.5,1.0,1.0,1.948564
100.0,0.75,0.0,0.0,1.178672
100.0,0.75,0.0,0.01,1.181728
100.0,0.75,0.0,0.1,1.245256
100.0,0.75,0.0,0.5,1.647088
100.0,0.75,0.0,1.0,1.708456
100.0,0.75,0.01,0.0,1.121616
100.0,0.75,0.01,0.01,1.12194
100.0,0.75,0.01,0.1,1.203584
100.0,0.75,0.01,0.5,1.641384
100.0,0.75,0.01,1.0,1.70456
100.0,0.75,0.1,0.0,0.9358
100.0,0.75,0.1,0.01,0.933088
100.0,0.75,0.1,0.1,0.96666
100.0,0.75,0.1,0.5,1.626724
100.0,0.75,0.1,1.0,1.702472
100.0,0.75,0.5,0.0,0.904468
100.0,0.75,0.5,0.01,0.901192
100.0,0.75,0.5,0.1,0.902656
100.0,0.75,0.5,0.5,1.4901
100.0,0.75,0.5,1.0,1.7145
100.0,0.75,1.0,0.0,0.892944
100.0,0.75,1.0,0.01,0.893796
100.0,0.75,1.0,0.1,0.896768
100.0,0.75,1.0,0.5,0.958348
100.0,0.75,1.0,1.0,1.752456
100.0,0.95,0.0,0.0,1.029108
100.0,0.95,0.0,0.01,1.03118
100.0,0.95,0.0,0.1,1.039316
100.0,0.95,0.0,0.5,1.002596
100.0,0.95,0.0,1.0,0.97764
100.0,0.95,0.01,0.0,1.02162
100.0,0.95,0.01,0.01,1.02168
100.0,0.95,0.01,0.1,1.033316
100.0,0.95,0.01,0.5,1.003068
100.0,0.95,0.01,1.0,0.979392
100.0,0.95,0.1,0.0,0.991464
100.0,0.95,0.1,0.01,0.98834
100.0,0.95,0.1,0.1,0.996336
100.0,0.95,0.1,0.5,1.023384
100.0,0.95,0.1,1.0,0.992848
100.0,0.95,0.5,0.0,0.983964
100.0,0.95,0.5,0.01,0.984532
100.0,0.95,0.5,0.1,0.985332
