CarryingCap,NPfix
1.0,2.0
2.0,1.065308
4.0,1.187428
10.0,1.256816
21.0,1.330576
46.0,1.314616
100.0,1.342496
215.0,1.381304
464.0,1.43894
1000.0,1.527164
