CarryingCap,NPfix
1.0,2.0
2.0,0.815828
4.0,0.920288
10.0,0.96558
21.0,1.031384
46.0,0.988296
100.0,0.995276
215.0,1.000096
464.0,0.99794
1000.0,0.994332
