CarryingCap,NPfix
1.0,2.0
2.0,1.05948
4.0,1.24816
10.0,1.411956
21.0,1.568876
46.0,1.649364
100.0,1.754136
215.0,1.838348
464.0,1.897416
1000.0,1.938552
