CarryingCap,NPfix
1.0,2.0
2.0,0.80523
7.0,1.0855324
21.0,1.020384
59.0,0.9989868
166.0,0.9858856
464.0,0.9869776
1291.0,0.9880172
3593.0,0.9887276
10000.0,0.9887804
