CarryingCap,NPfix
1.0,2.0
2.0,0.622948
4.0,0.728372
10.0,0.768804
21.0,0.819792
46.0,0.782712
100.0,0.785864
215.0,0.791008
464.0,0.785352
1000.0,0.785792
