K,g,s,cv,NPfix
2.0,1.0,0.0,0.0,0.82142
4.0,1.0,0.0,0.0,0.926212
10.0,1.0,0.0,0.0,0.97124
21.0,1.0,0.0,0.0,1.033724
46.0,1.0,0.0,0.0,0.992364
100.0,1.0,0.0,0.0,0.996256
215.0,1.0,0.0,0.0,1.005488
464.0,1.0,0.0,0.0,0.997392
1000.0,1.0,0.0,0.0,1.000424
