k,g,s,cv,npf
100.0,0.55,0.5,0.45,1.545936
100.0,0.55,1.0,0.15,0.755184
100.0,0.55,1.0,0.2,0.756816
100.0,0.55,1.0,0.25,0.763252
100.0,0.55,1.0,0.3,0.76596
100.0,0.55,1.0,0.35,0.768044
100.0,0.55,1.0,0.4,0.781552
100.0,0.55,1.0,0.45,0.808696
100.0,0.65,0.0,0.15,1.4344
100.0,0.65,0.0,0.2,1.515832
100.0,0.65,0.0,0.25,1.70578
100.0,0.65,0.0,0.3,1.742968
100.0,0.65,0.0,0.35,1.774788
100.0,0.65,0.0,0.4,1.801088
100.0,0.65,0.0,0.45,1.820076
100.0,0.65,0.01,0.15,1.394804
100.0,0.65,0.01,0.2,1.492488
100.0,0.65,0.01,0.25,1.69778
100.0,0.65,0.01,0.3,1.738356
100.0,0.65,0.01,0.35,1.771028
100.0,0.65,0.01,0.4,1.798468
100.0,0.65,0.01,0.45,1.818844
100.0,0.65,0.1,0.15,1.021272
100.0,0.65,0.1,0.2,1.156592
100.0,0.65,0.1,0.25,1.632744
100.0,0.65,0.1,0.3,1.687392
100.0,0.65,0.1,0.35,1.731788
100.0,0.65,0.1,0.4,1.767724
100.0,0.65,0.1,0.45,1.795228
100.0,0.65,0.5,0.15,0.845528
100.0,0.65,0.5,0.2,0.847768
100.0,0.65,0.5,0.25,0.87596
100.0,0.65,0.5,0.3,0.92418
100.0,0.65,0.5,0.35,1.030836
100.0,0.65,0.5,0.4,1.221856
100.0,0.65,0.5,0.45,1.45558
100.0,0.65,1.0,0.15,0.833084
100.0,0.65,1.0,0.2,0.8349
100.0,0.65,1.0,0.25,0.840868
100.0,0.65,1.0,0.3,0.841848
100.0,0.65,1.0,0.35,0.84444
100.0,0.65,1.0,0.4,0.85226
100.0,0.65,1.0,0.45,0.875196
100.0,0.75,0.0,0.15,1.301212
100.0,0.75,0.0,0.2,1.363776
100.0,0.75,0.0,0.25,1.50532
100.0,0.75,0.0,0.3,1.543676
100.0,0.75,0.0,0.35,1.57512
100.0,0.75,0.0,0.4,1.605412
100.0,0.75,0.0,0.45,1.62772
100.0,0.75,0.01,0.15,1.275252
100.0,0.75,0.01,0.2,1.347172
100.0,0.75,0.01,0.25,1.503668
100.0,0.75,0.01,0.3,1.538044
100.0,0.75,0.01,0.35,1.574372
100.0,0.75,0.01,0.4,1.601928
100.0,0.75,0.01,0.45,1.624948
100.0,0.75,0.1,0.15,1.026136
100.0,0.75,0.1,0.2,1.117656
100.0,0.75,0.1,0.25,1.446556
100.0,0.75,0.1,0.3,1.49642
100.0,0.75,0.1,0.35,1.540124
100.0,0.75,0.1,0.4,1.575124
100.0,0.75,0.1,0.45,1.605456
100.0,0.75,0.5,0.15,0.902976
100.0,0.75,0.5,0.2,0.905736
100.0,0.75,0.5,0.25,0.924076
100.0,0.75,0.5,0.3,0.956868
100.0,0.75,0.5,0.35,1.034748
100.0,0.75,0.5,0.4,1.169988
100.0,0.75,0.5,0.45,1.344424
100.0,0.75,1.0,0.15,0.893212
100.0,0.75,1.0,0.2,0.89268
100.0,0.75,1.0,0.25,0.898316
100.0,0.75,1.0,0.3,0.900712
100.0,0.75,1.0,0.35,0.899488
100.0,0.75,1.0,0.4,0.907636
100.0,0.75,1.0,0.45,0.923316
100.0,0.85,0.0,0.15,1.17236
100.0,0.85,0.0,0.2,1.211456
100.0,0.85,0.0,0.25,1.279056
100.0,0.85,0.0,0.3,1.300492
100.0,0.85,0.0,0.35,1.31848
100.0,0.85,0.0,0.4,1.333976
100.0,0.85,0.0,0.45,1.350636
100.0,0.85,0.01,0.15,1.16164
100.0,0.85,0.01,0.2,1.198748
100.0,0.85,0.01,0.25,1.27752
100.0,0.85,0.01,0.3,1.298144
100.0,0.85,0.01,0.35,1.316976
100.0,0.85,0.01,0.4,1.337328
100.0,0.85,0.01,0.45,1.35106
100.0,0.85,0.1,0.15,1.018644
100.0,0.85,0.1,0.2,1.072204
100.0,0.85,0.1,0.25,1.252552
100.0,0.85,0.1,0.3,1.279348
100.0,0.85,0.1,0.35,1.305788
100.0,0.85,0.1,0.4,1.324888
100.0,0.85,0.1,0.45,1.345868
100.0,0.85,0.5,0.15,0.947572
100.0,0.85,0.5,0.2,0.94878
100.0,0.85,0.5,0.25,0.95988
100.0,0.85,0.5,0.3,0.979824
100.0,0.85,0.5,0.35,1.027124
100.0,0.85,0.5,0.4,1.10926
100.0,0.85,0.5,0.45,1.224768
100.0,0.85,1.0,0.15,0.941744
100.0,0.85,1.0,0.2,0.94118
100.0,0.85,1.0,0.25,0.943484
100.0,0.85,1.0,0.3,0.945232
100.0,0.85,1.0,0.35,0.948168
100.0,0.85,1.0,0.4,0.951488
100.0,0.85,1.0,0.45,0.960968
100.0,0.95,0.0,0.15,1.051288
100.0,0.95,0.0,0.2,1.057528
100.0,0.95,0.0,0.25,1.041356
100.0,0.95,0.0,0.3,1.033752
100.0,0.95,0.0,0.35,1.026004
100.0,0.95,0.0,0.4,1.016644
100.0,0.95,0.0,0.45,1.007396
100.0,0.95,0.01,0.15,1.04758
100.0,0.95,0.01,0.2,1.058836
100.0,0.95,0.01,0.25,1.043072
100.0,0.95,0.01,0.3,1.034348
100.0,0.95,0.01,0.35,1.028948
100.0,0.95,0.01,0.4,1.019036
100.0,0.95,0.01,0.45,1.010912
100.0,0.95,0.1,0.15,1.005376
100.0,0.95,0.1,0.2,1.027648
100.0,0.95,0.1,0.25,1.056724
100.0,0.95,0.1,0.3,1.049608
100.0,0.95,0.1,0.35,1.046812
100.0,0.95,0.1,0.4,1.037268
100.0,0.95,0.1,0.45,1.031148
100.0,0.95,0.5,0.15,0.983112
100.0,0.95,0.5,0.2,0.987992
100.0,0.95,0.5,0.25,0.985824
100.0,0.95,0.5,0.3,0.99394
100.0,0.95,0.5,0.35,1.007632
100.0,0.95,0.5,0.4,1.038476
100.0,0.95,0.5,0.45,1.07756
100.0,0.95,1.0,0.15,0.981544
100.0,0.95,1.0,0.2,0.984052
100.0,0.95,1.0,0.25,0.982696
100.0,0.95,1.0,0.3,0.985316
100.0,0.95,1.0,0.35,0.983124
100.0,0.95,1.0,0.4,0.9852
100.0,0.95,1.0,0.45,0.989068
100.0,0.3,0.0,0.15,1.860232
100.0,0.3,0.0,0.2,1.918916
100.0,0.3,0.0,0.25,1.995812
100.0,0.3,0.0,0.3,1.997584
100.0,0.3,0.0,0.35,1.998656
100.0,0.3,0.0,0.4,1.999176
100.0,0.3,0.0,0.45,1.999468
100.0,0.3,0.01,0.15,1.810968
100.0,0.3,0.01,0.2,1.897136
100.0,0.3,0.01,0.25,1.995172
100.0,0.3,0.01,0.3,1.997392
100.0,0.3,0.01,0.35,1.998508
100.0,0.3,0.01,0.4,1.999148
100.0,0.3,0.01,0.45,1.999376
100.0,0.3,0.1,0.15,0.911292
100.0,0.3,0.1,0.2,1.27076
100.0,0.3,0.1,0.25,1.984888
100.0,0.3,0.1,0.3,1.992868
100.0,0.3,0.1,0.35,1.996416
100.0,0.3,0.1,0.4,1.998164
100.0,0.3,0.1,0.45,1.9988
100.0,0.3,0.5,0.15,0.4724
100.0,0.3,0.5,0.2,0.47878
100.0,0.3,0.5,0.25,0.541
100.0,0.3,0.5,0.3,0.657308
100.0,0.3,0.5,0.35,0.925108
100.0,0.3,0.5,0.4,1.36308
100.0,0.3,0.5,0.45,1.742084
100.0,0.3,1.0,0.15,0.4421
100.0,0.3,1.0,0.2,0.44402
100.0,0.3,1.0,0.25,0.45178
100.0,0.3,1.0,0.3,0.457836
100.0,0.3,1.0,0.35,0.462616
100.0,0.3,1.0,0.4,0.485408
100.0,0.3,1.0,0.45,0.535576
100.0,0.4,0.0,0.15,1.753672
100.0,0.4,0.0,0.2,1.834796
100.0,0.4,0.0,0.25,1.972308
100.0,0.4,0.0,0.3,1.98092
100.0,0.4,0.0,0.35,1.987196
100.0,0.4,0.0,0.4,1.990792
100.0,0.4,0.0,0.45,1.992836
100.0,0.4,0.01,0.15,1.697256
100.0,0.4,0.01,0.2,1.803892
100.0,0.4,0.01,0.25,1.970068
100.0,0.4,0.01,0.3,1.980156
100.0,0.4,0.01,0.35,1.986712
100.0,0.4,0.01,0.4,1.990476
100.0,0.4,0.01,0.45,1.992704
100.0,0.4,0.1,0.15,0.966292
100.0,0.4,0.1,0.2,1.241672
100.0,0.4,0.1,0.25,1.939764
100.0,0.4,0.1,0.3,1.962992
100.0,0.4,0.1,0.35,1.976352
100.0,0.4,0.1,0.4,1.983564
100.0,0.4,0.1,0.45,1.98872
100.0,0.4,0.5,0.15,0.619828
100.0,0.4,0.5,0.2,0.6235
100.0,0.4,0.5,0.25,0.67712
100.0,0.4,0.5,0.3,0.771044
100.0,0.4,0.5,0.35,0.979044
100.0,0.4,0.5,0.4,1.326172
100.0,0.4,0.5,0.45,1.668344
100.0,0.4,1.0,0.15,0.591252
100.0,0.4,1.0,0.2,0.596668
100.0,0.4,1.0,0.25,0.602452
100.0,0.4,1.0,0.3,0.605648
100.0,0.4,1.0,0.35,0.6129
100.0,0.4,1.0,0.4,0.630384
100.0,0.4,1.0,0.45,0.667812
100.0,0.5,0.0,0.15,1.629944
100.0,0.5,0.0,0.2,1.721412
100.0,0.5,0.0,0.25,1.907604
100.0,0.5,0.0,0.3,1.928708
100.0,0.5,0.0,0.35,1.945032
100.0,0.5,0.0,0.4,1.955908
100.0,0.5,0.0,0.45,1.964504
100.0,0.5,0.01,0.15,1.579364
100.0,0.5,0.01,0.2,1.6927
100.0,0.5,0.01,0.25,1.902824
100.0,0.5,0.01,0.3,1.92558
100.0,0.5,0.01,0.35,1.94328
100.0,0.5,0.01,0.4,1.954496
100.0,0.5,0.01,0.45,1.962836
100.0,0.5,0.1,0.15,0.997204
100.0,0.5,0.1,0.2,1.213712
100.0,0.5,0.1,0.25,1.848224
100.0,0.5,0.1,0.3,1.890576
100.0,0.5,0.1,0.35,1.919156
100.0,0.5,0.1,0.4,1.93858
100.0,0.5,0.1,0.45,1.950944
100.0,0.5,0.5,0.15,0.7287
100.0,0.5,0.5,0.2,0.7322
100.0,0.5,0.5,0.25,0.776168
100.0,0.5,0.5,0.3,0.850408
100.0,0.5,0.5,0.35,1.012616
100.0,0.5,0.5,0.4,1.291716
100.0,0.5,0.5,0.45,1.591136
100.0,0.5,1.0,0.15,0.70934
100.0,0.5,1.0,0.2,0.710108
100.0,0.5,1.0,0.25,0.714904
100.0,0.5,1.0,0.3,0.717508
100.0,0.5,1.0,0.35,0.72212
100.0,0.5,1.0,0.4,0.7382
100.0,0.5,1.0,0.45,0.771824
100.0,0.6,0.0,0.15,1.501124
100.0,0.6,0.0,0.2,1.590328
100.0,0.6,0.0,0.25,1.786684
100.0,0.6,0.0,0.3,1.82274
100.0,0.6,0.0,0.35,1.847292
100.0,0.6,0.0,0.4,1.869372
100.0,0.6,0.0,0.45,1.885112
100.0,0.6,0.01,0.15,1.458148
100.0,0.6,0.01,0.2,1.562232
100.0,0.6,0.01,0.25,1.781684
100.0,0.6,0.01,0.3,1.81554
100.0,0.6,0.01,0.35,1.845408
100.0,0.6,0.01,0.4,1.865916
100.0,0.6,0.01,0.45,1.883196
100.0,0.6,0.1,0.15,1.015264
100.0,0.6,0.1,0.2,1.176968
100.0,0.6,0.1,0.25,1.714828
100.0,0.6,0.1,0.3,1.767452
100.0,0.6,0.1,0.35,1.809512
100.0,0.6,0.1,0.4,1.839896
100.0,0.6,0.1,0.45,1.863576
100.0,0.6,0.5,0.15,0.815172
100.0,0.6,0.5,0.2,0.816288
100.0,0.6,0.5,0.25,0.848944
