K,g,s,cv,NPfix
2.0,0.6,0.0,0.0,0.434044
4.0,0.6,0.0,0.0,0.399416
10.0,0.6,0.0,0.0,0.197896
21.0,0.6,0.0,0.0,0.07298
46.0,0.6,0.0,0.0,0.007616
100.0,0.6,0.0,0.0,0.000264
215.0,0.6,0.0,0.0,0.0
464.0,0.6,0.0,0.0,0.0
1000.0,0.6,0.0,0.0,0.0
