K,g,s,cv,NPfix
2.0,0.6,0.0,0.3,1.048372
4.0,0.6,0.0,0.3,1.253992
10.0,0.6,0.0,0.3,1.444492
21.0,0.6,0.0,0.3,1.620856
46.0,0.6,0.0,0.3,1.717984
100.0,0.6,0.0,0.3,1.81958
215.0,0.6,0.0,0.3,1.893928
464.0,0.6,0.0,0.3,1.94044
1000.0,0.6,0.0,0.3,1.967892
